search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Data Analyst,Data analyst,Inginit,0-3 yrs,Mumbai,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-inginit-mumbai-0-to-3-years-020925501272
Data Analyst,Data Analyst,Hiringhood,1-3 yrs,Mangaluru,"Pyspark, Pandas, Data Analytics, Python, SQL, Azure Cloud, Data Structures, Ci/Cd",1 week ago,https://www.naukri.com/job-listings-data-analyst-hiringhood-mangaluru-1-to-3-years-130326024180
Data Analyst,Data Analyst (Deployment),Legistify,0-2 yrs,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-deployment-legistify-gurugram-0-to-2-years-221124503740
Data Analyst,Data Engineer / Analyst,We Shine Academy,0-3 yrs,Chennai,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing",3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-analyst-we-shine-academic-chennai-0-to-3-years-080125502324
Data Analyst,Data Analyst,K12 Techno Services,1-3 yrs,Bengaluru,"Advanced Excel, Data Reporting, Transport Operations, Transport Management, Pivot Table, VLOOKUP, Fleet Management, Data Management",1 week ago,https://www.naukri.com/job-listings-data-analyst-k12-techno-services-bengaluru-1-to-3-years-240326019466
Data Analyst,Data Analyst,Grid Dynamics,10-20 yrs,Bengaluru,"Power Bi, Data, Dashboards, Bi, Data analysis",6 days ago,https://www.naukri.com/job-listings-data-analyst-grid-dynamics-bengaluru-10-to-20-years-270326021153
Machine Learning Engineer,Artificial Intelligence / Machine Learning Engineer Lead,FIS,10-15 yrs,Pune,"llm, insurance, trading, rest, mlops, python, restful, ai",1 week ago,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-engineer-lead-fis-global-business-solutions-india-pvt-ltd-pune-10-to-15-years-250326915179
Machine Learning Engineer,Principal Machine Learning Engineer,Amgen Inc,10-15 yrs,Hyderabad,"Machine Learning, mlops, python, aws sagemaker, databricks, llm, gdpr, tensorflow",1 week ago,https://www.naukri.com/job-listings-principal-machine-learning-engineer-amgen-inc-hyderabad-10-to-15-years-200326912697
Machine Learning Engineer,"Engineer Lead, Artificial Intelligence / Machine Learning",FIS,10-15 yrs,Pune,"data scientist, python, forecasting, ai, numpy, machine learning, artificial intelligence, nosql",2 weeks ago,https://www.naukri.com/job-listings-engineer-lead-artificial-intelligence-machine-learning-fis-global-business-solutions-india-pvt-ltd-pune-10-to-15-years-190326920773
Machine Learning Engineer,Data Science-Machine learning Engineer,EXL,0-3 yrs,Gurugram,"Marketing analytics, QC, C, SAS, Analytical, Machine learning, Programming, Data analytics",1 day ago,https://www.naukri.com/job-listings-data-science-machine-learning-engineer-exl-services-com-i-pvt-ltd-gurugram-0-to-3-years-020426509943
Machine Learning Engineer,Principal Machine Learning Engineer,Siemens,10-15 yrs,Noida,"machine learning, rds, kubernetes, docker, lambda, iam, spark, pytorch",6 days ago,https://www.naukri.com/job-listings-principal-machine-learning-engineer-siemens-limited-noida-10-to-15-years-270326918189
Machine Learning Engineer,Associate Director - Machine Learning Engineer,S&P Global Market Intelligence,10-15 yrs,Hyderabad,"machine learning, kubernetes, sql, microservices, docker, data science, spark, apache spark",1 day ago,https://www.naukri.com/job-listings-associate-director-machine-learning-engineer-s-p-capital-iq-india-pvt-ltd-hyderabad-10-to-15-years-020426929125
Machine Learning Engineer,Machine Learning Engineer,Agdata,10-20 yrs,Hybrid - Pune(Balewadi),"Data Science, Machine Learning, Deep Learning, Python, SQL, Artificial Intelligence, ETL, Science",2 days ago,https://www.naukri.com/job-listings-machine-learning-engineer-agdata-pune-10-to-20-years-310326034911
Machine Learning Engineer,Artificial Intelligence / Machine Learning Engineer Lead,FIS,10-15 yrs,Pune,"machine learning, insurance, trading, rest, mlops, python, restful, ai",1 week ago,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-engineer-lead-fis-global-business-solutions-india-pvt-ltd-pune-10-to-15-years-250326915182
AI Engineer,Artificial Intelligence Engineer,WABAG,10-18 yrs,Chennai,"Process Automation, AI, Data Analytics, Process, Intelligence, Analytics, Artificial Intelligence, Automation",3 weeks ago,https://www.naukri.com/job-listings-artificial-intelligence-engineer-wabag-chennai-10-to-18-years-110326035852
Data Engineer,BTS A: Data Engineer,ZS,0-3 yrs,"New Delhi, Gurugram","SQL, ETL, AWS, Python, S3, Airflow, Pyspark, Redshift",2 weeks ago,https://www.naukri.com/job-listings-bts-a-data-engineer-zs-new-delhi-gurugram-0-to-3-years-140326011286
Frontend Developer,Frontend Developer,Foxiom Leads,0-1 yrs,Kozhikode,"frontend development, front end, emerging technologies, css, ui development, user interface designing, photoshop, bootstrap",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-foxiom-leads-pvt-ltd-kozhikode-0-to-1-years-301025503066
Frontend Developer,Frontend Developer,TechKnowledgeHub.org,0-2 yrs,Remote,"Front end, Scalability, html5, Shaping, Web development, Javascript, HTML, Information technology",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-techknowledgehub-org-remote-0-to-2-years-220424500456
Frontend Developer,Frontend Developer,Techsolv It Service,0-2 yrs,Bardhaman,"frontend development, front end, emerging technologies, css, ui development, user interface designing, photoshop, bootstrap",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-techsolv-it-service-bardhaman-0-to-2-years-250325505417
Frontend Developer,Frontend Developer,Clumpcoder,0-1 yrs,Indore,"react.js, frontend development, front end, web application, web technologies, Front, Development, Application",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-clumpcoder-indore-0-to-1-years-200126505068
Frontend Developer,Frontend Developer,Shrewd Business Solutions,0-2 yrs,Coimbatore,"frontend development, front end, emerging technologies, css, ui development, user interface designing, photoshop, bootstrap",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-shrewd-business-solutions-coimbatore-0-to-2-years-131125503792
Frontend Developer,Frontend Developer,Imperative Business Ventures,0-2 yrs,Pune,"redux, css, ui development, bootstrap, ajax, scalability, jquery, react.js",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-imperative-business-ventures-pvt-ltd-pune-0-to-2-years-251025503911
Frontend Developer,Frontend Developer,Metconnect Infotech,0-1 yrs,Patna,"Backend, Front end, Web technologies, html5, Javascript, CSS3, HTML, Frontend Development",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-metconnect-infotech-pvt-ltd-patna-0-to-1-years-240226502078
Frontend Developer,Frontend Developer,Link Ideas Technologies,0-3 yrs,Bhilai,"redux, css, web application, ui development, bootstrap, ajax, jquery, react.js",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-link-ideas-technologies-bhilai-0-to-3-years-270525502135
Frontend Developer,Frontend Developer,Swipfe Infotech,0-2 yrs,Pune,"Backend, jQuery, Debugging, Javascript, Web designing, JSON, SEO, Software services",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-swipfe-infotech-pvt-ltd-pune-0-to-2-years-191225502792
Frontend Developer,Frontend Developer,Appentus Technologies,0-3 yrs,Jaipur,"Backend, CSS, Version control, GIT, Front end, Scalability, Debugging, Javascript",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-appentus-technologies-jaipur-0-to-3-years-200825500997
Frontend Developer,Frontend Developer,Flying Lion Media,0-3 yrs,Ahmedabad,"frontend development, front end, emerging technologies, css, ui development, user interface designing, photoshop, bootstrap",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-flying-lion-media-ahmedabad-0-to-3-years-111125502491
Frontend Developer,Frontend Developer,Famepilot,0-2 yrs,Gurgaon,"UI development, POP, github, Front end, Data structures, wireframing, HTML, Customer support",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-famepilot-internet-gurgaon-0-to-2-years-140220500671
Frontend Developer,Frontend Developer,riz Software Consultancy,0-3 yrs,Kolkata,"frontend development, front end, emerging technologies, css, ui development, user interface designing, photoshop, bootstrap",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-riz-software-consultancy-kolkata-0-to-3-years-080125502408
Frontend Developer,Frontend Developer,Cumulations,0-1 yrs,Bengaluru,"Backend, Front end, orchestration, devops, MySQL, Cloud, Agile, MongoDB",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-cumulations-technologies-pvt-ltd-bengaluru-0-to-1-years-161025500817
Frontend Developer,Frontend Developer (m/k/d),Bluesoft Software Solution,0-3 yrs,Remote,"Cloud computing, Manager Quality Assurance, RDBMS, Coding, Project management, Consulting, power bi, Workflow",6 days ago,https://www.naukri.com/job-listings-frontend-developer-m-k-d-bluesoft-software-solution-remote-0-to-3-years-270326502386
Frontend Developer,Frontend Developer,Anantya.ai,0-2 yrs,New Delhi,"frontend development, rest, front end, redux, css, web application, version control, ui development",2 weeks ago,https://www.naukri.com/job-listings-frontend-developer-anantya-ai-new-delhi-0-to-2-years-170326503317
Frontend Developer,FRONT END DEVELOPER,Godigi Infotech,0-1 yrs,Pune,"Performance tuning, Backend, build automation, CSS, Front end, Web technologies, Debugging, JSON",3+ weeks ago,https://www.naukri.com/job-listings-front-end-developer-godigi-infotech-pune-0-to-1-years-031225503040
Frontend Developer,Frontend Developer,Pavans Group Techsoft,0-2 yrs,Vadodara,"Front end, Focus, Management, manage, coordination, Frontend Development, End, Development",2 weeks ago,https://www.naukri.com/job-listings-frontend-developer-pavans-group-techsoft-private-limited-vadodara-0-to-2-years-180326500637
Frontend Developer,Trainee UX/Frontend Developer,Evision It Solution,0-2 yrs,Gandhinagar,"jQuery, Front end, Web development, Javascript, Conceptualization, Manager Technology, Programming, HTML",3+ weeks ago,https://www.naukri.com/job-listings-trainee-ux-frontend-developer-evision-it-solutions-gandhinagar-0-to-2-years-211124505979
Frontend Developer,Frontend Developer,Crypton Tech,0-1 yrs,Erode,"Backend, Version control, GIT, Postgresql, Web development, Javascript, HTML, MongoDB",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-crypton-tech-p-ltd-erode-0-to-1-years-251025505517
Frontend Developer,Frontend Developer Intern,Creativewebo,0-1 yrs,Navi Mumbai,"Javascript, React.Js, Ui/Ux, Ux Design, CSS, Sass, HTML, User Interface Designing",1 week ago,https://www.naukri.com/job-listings-frontend-developer-intern-creativewebo-navi-mumbai-0-to-1-years-240326930383
Frontend Developer,Frontend Developer,Itier Solutions,0-1 yrs,Pune,"CSS, jQuery, Front end, ASP.Net, HTML, Photoshop, Cs, Frontend Development",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-itier-solutions-pune-0-to-1-years-151225503038
Frontend Developer,Frontend developers,Astech Solutions,0-3 yrs,Mumbai,"CSS, jQuery, Front end, GIT, Web technologies, Wordpress, Javascript, HTML",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developers-astech-solutions-mumbai-0-to-3-years-231220501688
Frontend Developer,Frontend Developer,Seyon Business Innovation,0-1 yrs,Coimbatore,"CSS, Front end, Web technologies, Javascript, HTML, Cs, Front, Development",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-seyon-business-innovation-coimbatore-0-to-1-years-101225501799
Frontend Developer,Frontend Developer,Acetrot,0-3 yrs,Mumbai,"Front end, Development, Frontend Development, Front, End",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-acetrot-mumbai-0-to-3-years-090824502207
Frontend Developer,Frontend Developer,Infizius,0-1 yrs,"Mumbai, Surat","Front end, Frontend Development, End, Development, Front",3+ weeks ago,https://www.naukri.com/job-listings-frontend-developer-infizius-mumbai-surat-0-to-1-years-201124513169
Frontend Developer,Frontend Developer (React),Leifii.Co,0-1 yrs,Pune,"redux, css, web application, ui development, bootstrap, ajax, jquery, react.js",1 day ago,https://www.naukri.com/job-listings-frontend-developer-react-leifii-co-pune-0-to-1-years-010426505583
Frontend Developer,Front End Developer,Ipropal,0-2 yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Computer science, Basic, Backend, github, Front end, GIT, Web technologies, Javascript",1 day ago,https://www.naukri.com/job-listings-front-end-developer-ipropal-allps-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-010426505767
